Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Area: F2: Sample,emPAI,Score A Sequest HT,# Peptides A Sequest HT
Q8B5N3,Granulin OS=Epinotia aporema granulovirus PE=3 SV=1,69.35483871,25,1187,25,1,248,29.3,6.35,354552848307,794327.235,1939.54,25
K4ERU1,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,24.57337884,27,44,27,1,1465,168.4,5.25,497102359.2,1.316,74.94,27
K4ERV1,GP41 OS=Epinotia aporema granulovirus GN=gp41 PE=4 SV=1,64.33566434,16,51,16,1,286,32.8,8.53,2507054263,19.691,126.75,16
K4EQF1,VP39 OS=Epinotia aporema granulovirus GN=vp39 PE=4 SV=1,65.52901024,16,133,16,1,293,33.8,6.25,10153854929,28.764,249.04,16
K4ER60,ODV-EC43 OS=Epinotia aporema granulovirus GN=odv-ec43 PE=4 SV=1,42.81609195,12,35,12,1,348,39.9,7.68,2026194346,6.197,68.67,12
K4ER55,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,35.66739606,14,38,14,1,457,53.4,8.43,1784267705,2.981,69.72,14
K4ERT9,ODV-E66 OS=Epinotia aporema granulovirus GN=odv-e66 PE=4 SV=1,24.00611621,10,25,10,1,654,73.2,5.81,1507785382,1.754,63.26,10
K4ER59,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,30.04484305,12,23,12,1,446,51.4,7.64,238433404.6,1.829,33.87,12
K4EQU0,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,69.8630137,5,39,5,1,73,8.6,8.78,23147814303,999,78.71,5
K4EQ31,VLF-1 OS=Epinotia aporema granulovirus GN=vlf-1 PE=4 SV=1,28.26086957,10,17,10,1,368,42.2,9.5,264514406.5,3.062,28.86,10
K4EQ28,Occlusion derived virus envelope 25 OS=Epinotia aporema granulovirus GN=odv-e25 PE=4 SV=1,50.70422535,8,46,8,1,213,23.4,8.22,6649851102,9,41.73,8
K4EQ30,VP91 OS=Epinotia aporema granulovirus GN=vp91 PE=4 SV=1,14.10934744,7,17,7,1,567,63.3,5.19,569935810,1.219,32.95,7
K4EQU6,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,30.54755043,8,20,8,1,347,40.3,7.53,1668067250,1.721,36.41,8
K4ERT7,ODV-E18 OS=Epinotia aporema granulovirus GN=odv-e18 PE=4 SV=1,45.45454545,6,32,6,1,88,9.3,11.3,49024046825,176.828,67.57,6
K4EQS9,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,65.68627451,5,11,5,1,102,12.1,6.67,413819462,9,29.26,5
K4EQD7,PEP/P10 OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,48.7012987,8,31,8,1,308,33.3,5.19,617359992.7,5.813,22.77,8
K4ER67,p33 OS=Epinotia aporema granulovirus GN=p33 PE=4 SV=1,21.65354331,5,19,5,1,254,30.2,7.77,954709575.4,1.637,34.26,5
K4EQE2,PIF-2 OS=Epinotia aporema granulovirus GN=pif-2 PE=4 SV=1,20.05347594,7,12,7,1,374,43.2,6.61,120110201.5,1.081,19.28,7
K4ER61,Superoxide Dismutase OS=Epinotia aporema granulovirus GN=sod PE=4 SV=1,35.51912568,6,25,6,1,183,19.9,6.95,754193706.3,5.31,42.71,6
K4EQD8,ODV-E56 OS=Epinotia aporema granulovirus GN=odv-e56 PE=4 SV=1,14.12429379,4,11,4,1,354,38.8,5.14,1105335799,2.511,24.58,4
K4EQS6,Polyhedron envelope protein OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,37.64044944,6,16,6,1,178,19.9,5.96,796118721.9,2.981,21.65,6
K4ER70,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,29.53020134,4,7,4,1,149,17.9,6.93,314564808.8,1.848,15.33,4
K4ER68,ODV-EC27 OS=Epinotia aporema granulovirus GN=odv-ec27 PE=4 SV=1,25.35211268,6,8,6,1,284,33.2,5.08,152526862.8,2.162,13.1,6
K4EQT7,BV/ODV-C42 OS=Epinotia aporema granulovirus GN=bv PE=4 SV=1,14.4772118,5,7,5,1,373,42.7,9.11,263421938,0.73,11.54,5
K4EQ12,Protein kinase 1 OS=Epinotia aporema granulovirus GN=pk-1 PE=4 SV=1,19.92753623,5,7,5,1,276,32,7.17,393901617.2,1.254,8.74,5
K4EQU1,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,44.31818182,2,8,2,1,88,10.1,4.5,240812194.3,4.623,9.18,2
K4ER66,38 k OS=Epinotia aporema granulovirus PE=4 SV=1,10.84745763,3,4,3,1,295,35.6,7.17,21985122.33,0.468,4.12,3
K4EQE3,Viral Ubiquitin OS=Epinotia aporema granulovirus GN=v-ubi PE=4 SV=1,13.97849462,1,2,1,1,93,10.4,5.5,833356480,0.778,6.73,1
K4EQ36,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,30.43478261,2,4,2,1,69,8.1,4.72,1467792397,3.642,8.66,2
K4ER72,FP25K OS=Epinotia aporema granulovirus GN=fp25k PE=4 SV=1,19.8630137,3,3,3,1,146,17.1,9.58,79330702.85,0.874,6.14,3
K4ERU8,Per os infectio factor 4 OS=Epinotia aporema granulovirus GN=pif-4 PE=4 SV=1,20.98765432,3,3,3,1,162,18.6,6.29,61855757.73,1.154,1.66,3
K4EQ15,Polyhedron envelope protein OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,28.16901408,3,5,3,1,142,15.6,5.02,937179489.5,1.371,7.24,3
K4ERV3,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,16.21621622,2,4,2,1,148,17.3,9.41,121895207.7,0.668,4.45,2
K4ERU5,Per os infection Factor 1 OS=Epinotia aporema granulovirus GN=pif-1 PE=4 SV=1,4.460966543,2,2,2,1,538,60.3,5.16,135364978.1,0.233,1.93,2
K4EQT9,ChaB OS=Epinotia aporema granulovirus GN=chaB PE=4 SV=1,17.33333333,1,2,1,1,75,8.7,5.08,1118426181,1.512,3.75,1
K4EQ24,p24 OS=Epinotia aporema granulovirus GN=p24 PE=4 SV=1,18.78787879,2,2,2,1,165,18.5,4.81,127592168.9,0.52,4.64,2
K4EQ17,V-CATH OS=Epinotia aporema granulovirus GN=v-cath PE=3 SV=1,5.775075988,2,2,2,1,329,37.1,4.93,36766726.75,0.292,4.85,2
K4EQS2,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,16.05839416,2,2,2,1,137,15.5,4.79,98111464.81,0.778,4.79,2
K4EQ27,p6.9 OS=Epinotia aporema granulovirus GN=p6.9 PE=4 SV=1,14.28571429,1,1,1,1,56,7.3,12.41,8206426,2.162,2.96,1
K4ERU6,Late expression factor 6 OS=Epinotia aporema granulovirus GN=lef-6 PE=4 SV=1,12.19512195,1,1,1,1,82,10,8.69,25430462.75,0.468,2.39,1
K4EQE5,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,10.37735849,1,1,1,1,106,12,4.81,15372294.25,0.389,2.16,1
A1XDU5,p74 OS=Epinotia aporema granulovirus GN=p74 PE=4 SV=1,1.684532925,1,1,1,1,653,73.9,5.07,17843450.5,0.083,0,1
K4ERU7,p12 OS=Epinotia aporema granulovirus GN=p12 PE=4 SV=1,7.826086957,1,1,1,1,115,12.3,4.97,71956087,0.778,0,1
K4EQF7,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,6.862745098,1,1,1,1,102,11.9,7.12,19145096.25,0.468,0,1
K4ER65,p48/P45 OS=Epinotia aporema granulovirus GN=p45 PE=4 SV=1,2.368421053,1,1,1,1,380,44.7,7.34,46004358.5,0.105,2.21,1
K4ER75,VP1054 OS=Epinotia aporema granulovirus GN=vp1054 PE=4 SV=1,2.034883721,1,1,1,1,344,40.1,7.81,10618553.13,0.105,1.72,1
K4ER69,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,3.141361257,1,1,1,1,191,22.1,8.06,42240615.75,0.212,0,1
K4EQF0,p18 OS=Epinotia aporema granulovirus GN=p18 PE=4 SV=1,5.063291139,1,1,1,1,158,18,4.73,-,0,2.280,1
